id,revenue
3001,3268374.950788388
3002,2075739.9761557302
3003,7933374.574918273
3004,3422576.0153876403
3005,560735.4459529592
3006,3028574.7734287605
3007,1177383.9275054957
3008,50626419.67505801
3009,22086282.590665508
3010,345150908.2803103
3011,256734.97099976006
3012,219099.39815698328
3013,30286922.64603218
3014,208011.887937275
3015,22035388.113419104
3016,113906.42497968912
3017,118921807.30010687
3018,135052777.7466015
3019,15148677.186446812
3020,466330690.2406942
3021,52365426.72492337
3022,37192743.52907505
3023,91755.6660775042
3024,18635128.166447602
3025,426522.13176382054
3026,78482019.07705978
3027,2625411.424410364
3028,60274257.38132477
3029,267678.9021977782
3030,47265736.3202742
3031,6977561.821818334
3032,3670964.253768196
3033,96187.84641406903
3034,29642.14280729804
3035,2649644.1671410673
3036,12549203.602493398
3037,74192190.04016882
3038,10709333.241844388
3039,14787929.96146167
3040,698104.801580768
3041,15937949.385837507
3042,1914470.0687843764
3043,20903913.277910825
3044,2075247.3148297055
3045,464237936.41874164
3046,448193.80245068274
3047,2114451.1570349787
3048,18763182.7961654
3049,25553149.807574116
3050,45555051.89088115
3051,13474.603541998194
3052,25239313.530191705
3053,164669.3752202963
3054,22393.027698200378
3055,59116606.03470814
3056,57695.33090488691
3057,74928797.68504237
3058,292112149.17125636
3059,395691.5596321784
3060,100010995.33837679
3061,57119142.957258776
3062,2604990.621048604
3063,40742710.4891879
3064,57441656.17485732
3065,27080237.572884183
3066,98751848.94779004
3067,897620.7240741344
3068,55676242.02833353
3069,185435053.8826435
3070,343313.1770944986
3071,6535218.50682358
3072,392230477.98244095
3073,1008777.1470444226
3074,513199.2960501493
3075,26593988.14167807
3076,136327104.74569568
3077,3318892.261592077
3078,97820440.25720935
3079,23259808.26036226
3080,109810031.43831065
3081,12601448.903848762
3082,12701995.997402802
3083,10597416.109638616
3084,11478.357408947111
3085,1760407.681680973
3086,46096249.94045997
3087,100686.05701371677
3088,112521.3683222539
3089,119882.51616187421
3090,23082189.833887994
3091,27368771.927979
3092,7144241.660428605
3093,129821297.62273616
3094,88386033.02650419
3095,42227162.88772769
3096,1057526.625542355
3097,990710756.9839773
3098,13329110.411315033
3099,54503585.428908296
3100,3751894.125491737
3101,12691471.537949378
3102,1288006.5330456416
3103,970074.8758930612
3104,2236445.5843086154
3105,79954647.86227866
3106,32260334.43413378
3107,25235483.921763048
3108,4257866.076065965
3109,8943001.938246137
3110,314840723.94528466
3111,2601056.882743308
3112,736290.1896416434
3113,7443880.742606286
3114,17504122.740649436
3115,14138334.892816652
3116,3148924.5404031477
3117,226220.61213412666
3118,740991.544470492
3119,209549485.89545223
3120,88123185.04947719
3121,254832.99346579763
3122,8408300.743254531
3123,9848328.402654404
3124,695976.3566988745
3125,184523.6589242675
3126,25805291.66763579
3127,8981518.220904715
3128,29001571.83889384
3129,221755514.08492312
3130,7351649.6986730285
3131,1156219.7559986606
3132,6768307.257052202
3133,105109.89819929088
3134,13364904.090506146
3135,2859615.924612267
3136,1990331.0368281242
3137,81928764.94259073
3138,810287.2295418995
3139,26315037.58121851
3140,78449693.79908893
3141,2891825.455372866
3142,3085421.9266757146
3143,107470518.27121954
3144,8732119.427079482
3145,5971494.40202044
3146,3062730.60323536
3147,8898459.81019597
3148,797856.6373359271
3149,58176124.33218513
3150,85565970.46891256
3151,1914594.9088726982
3152,23180137.314872723
3153,1937289.9285790827
3154,5393168.91853636
3155,29909012.980711035
3156,3558543.6488802154
3157,9436532.508711502
3158,159907053.11203447
3159,6576378.67621043
