id,revenue
3001,3343430.6228526416
3002,1500874.0262502634
3003,2189229.4062611233
3004,19600139.233128987
3005,1525679.6857632305
3006,2139898.796816049
3007,1351322.533513433
3008,13044510.998535072
3009,10086427.872669077
3010,1953638080.5844452
3011,1912746.3015578133
3012,560843.2893435301
3013,58657866.120710514
3014,1329616.6353035355
3015,19847857.735796
3016,395577.5757672388
3017,115633103.16779132
3018,38577932.00145396
3019,1322112.9763602715
3020,148005775.65045798
3021,24561786.95415479
3022,56054518.456452206
3023,412734.518779707
3024,10317568.139097726
3025,1012984.7580491747
3026,34691419.2970045
3027,9091743.496924683
3028,58949721.58607203
3029,2084450.5899660515
3030,18713991.848392315
3031,18975631.748788804
3032,5337381.168678062
3033,581460.8049236783
3034,784555.6231818605
3035,3274341.4765235763
3036,28009022.63994048
3037,90515507.49159086
3038,64775985.075145654
3039,9027563.318742508
3040,641543.8186864484
3041,9986120.63852381
3042,584279.554080121
3043,19119020.404582355
3044,4585687.124675406
3045,1844924431.2889912
3046,479700.27315379196
3047,3614088.806970486
3048,10687866.678595016
3049,6678265.180257319
3050,57978274.41797029
3051,491770.9022653229
3052,10467804.494966982
3053,194385.82816084247
3054,158247.33652989028
3055,16483507.316263665
3056,186967.88959564426
3057,20993347.62174373
3058,66231043.953517884
3059,532318.6617040636
3060,41500590.36521134
3061,142341603.68202978
3062,13410328.28367967
3063,33976076.32977096
3064,16555845.815486563
3065,17078355.43025732
3066,40444517.208957374
3067,1356067.9933866286
3068,48312960.12924144
3069,68832031.99240689
3070,542535.2168447484
3071,15611440.160773579
3072,40982857.86702391
3073,1262053.514883637
3074,270897.7173215297
3075,20961525.043087862
3076,764024029.6538709
3077,28595778.86734668
3078,91951900.67687891
3079,25463022.85125548
3080,65376472.15165631
3081,18681655.34448323
3082,1619559.9401341067
3083,6784268.564343137
3084,472277.9856038533
3085,18368915.15559289
3086,14253202.09742958
3087,492683.4793753705
3088,305084.7350345108
3089,1285348.271208257
3090,13433739.619045734
3091,11281119.430902138
3092,1442351.4125201227
3093,330692962.9315304
3094,68696129.42050491
3095,15808604.007435305
3096,2955261.7909528594
3097,284735483.046736
3098,26638607.653097797
3099,18174744.879827965
3100,1611915.8602144641
3101,1881989.2593035412
3102,5166505.2477072785
3103,439209.213948916
3104,439637.96670288016
3105,19898588.316404656
3106,10216778.331087675
3107,24251884.856654607
3108,15864536.183262743
3109,2769772.4067719523
3110,270479727.11825097
3111,5008798.7542820545
3112,435384.11939000065
3113,17302969.739678934
3114,15194812.41081629
3115,29464103.946109395
3116,14267870.73058347
3117,447735.080965577
3118,1652024.6263556816
3119,189151070.11600277
3120,52211559.91632773
3121,903140.5544509531
3122,14091540.288682157
3123,25680707.848570287
3124,758127.161579677
3125,102223.24346518914
3126,17832593.933718294
3127,1451422.601300013
3128,10934350.914719822
3129,47991836.32850252
3130,6980417.233649228
3131,1411153.597166679
3132,3451855.4358023074
3133,286090.90887563827
3134,2235501.9526735954
3135,1149362.2325436242
3136,4810855.174583509
3137,29179313.32577403
3138,1338488.086187787
3139,13420735.865530156
3140,383420106.3427393
3141,4524309.0792498235
3142,336026.5648002761
3143,41703131.28529174
3144,6584456.76984996
3145,8329413.085386392
3146,3362015.677432109
3147,12057602.221053833
3148,2287038.9401075793
3149,30766765.04479164
3150,31200341.457894076
3151,3804841.0084896456
3152,12297370.329462487
3153,2659351.0845632185
3154,9050372.354207478
3155,22921057.796596676
3156,11795585.17553671
3157,26506704.421318654
3158,281984921.12668645
3159,1958501.3624108145
3160,7863282.697837165
3161,360285.83127219346
3162,2328394.158733789
3163,149576455.09735808
3164,1259465.4733601736
3165,457015.7174400513
3166,321519.87810122897
